Date,GSCPI,,
,,,NEW YORK FED  ECONOMIC RESEARCH
,,,
,,,https://www.newyorkfed.org/research
,,,
01/01/1998,-1.08,,
01/02/1998,-0.45,,
01/03/1998,-0.07,,
01/04/1998,-0.13,,
01/05/1998,-0.43,,
01/06/1998,-0.74,,
01/07/1998,-0.92,,
01/08/1998,-0.88,,
01/09/1998,-0.89,,
01/10/1998,-0.67,,
01/11/1998,-0.83,,
01/12/1998,-0.58,,
01/01/1999,-0.25,,
01/02/1999,0.03,,
01/03/1999,-0.26,,
01/04/1999,-0.21,,
01/05/1999,-0.34,,
01/06/1999,-0.36,,
01/07/1999,-0.6,,
01/08/1999,-0.44,,
01/09/1999,-0.38,,
01/10/1999,-0.12,,
01/11/1999,-0.16,,
01/12/1999,-0.2,,
01/01/2000,-0.6,,
01/02/2000,-0.4,,
01/03/2000,-0.28,,
01/04/2000,0.14,,
01/05/2000,0.29,,
01/06/2000,0.05,,
01/07/2000,0,,
01/08/2000,0.09,,
01/09/2000,0.05,,
01/10/2000,-0.5,,
01/11/2000,-0.71,,
01/12/2000,-0.9,,
01/01/2001,-0.89,,
01/02/2001,-0.75,,
01/03/2001,-0.56,,
01/04/2001,-0.96,,
01/05/2001,-1.08,,
01/06/2001,-0.66,,
01/07/2001,-0.78,,
01/08/2001,-0.74,,
01/09/2001,-0.63,,
01/10/2001,-1.17,,
01/11/2001,-1.39,,
01/12/2001,-1.11,,
01/01/2002,-0.86,,
01/02/2002,-0.43,,
01/03/2002,-0.41,,
01/04/2002,-0.56,,
01/05/2002,-0.28,,
01/06/2002,-0.6,,
01/07/2002,-0.92,,
01/08/2002,-1.06,,
01/09/2002,-1.11,,
01/10/2002,-1.21,,
01/11/2002,-0.7,,
01/12/2002,-0.66,,
01/01/2003,-0.6,,
01/02/2003,-0.28,,
01/03/2003,-0.3,,
01/04/2003,-0.54,,
01/05/2003,-0.19,,
01/06/2003,-0.1,,
01/07/2003,0.02,,
01/08/2003,-0.06,,
01/09/2003,0.07,,
01/10/2003,-0.26,,
01/11/2003,-0.41,,
01/12/2003,-0.36,,
01/01/2004,-0.5,,
01/02/2004,-0.37,,
01/03/2004,-0.01,,
01/04/2004,0.41,,
01/05/2004,0.35,,
01/06/2004,0.41,,
01/07/2004,-0.45,,
01/08/2004,0.07,,
01/09/2004,-0.01,,
01/10/2004,-0.6,,
01/11/2004,-0.04,,
01/12/2004,0.11,,
01/01/2005,-0.09,,
01/02/2005,-0.11,,
01/03/2005,-0.26,,
01/04/2005,-1.3,,
01/05/2005,-0.96,,
01/06/2005,-0.92,,
01/07/2005,-0.86,,
01/08/2005,-0.48,,
01/09/2005,0.08,,
01/10/2005,-0.08,,
01/11/2005,-0.63,,
01/12/2005,-0.69,,
01/01/2006,-0.36,,
01/02/2006,-0.73,,
01/03/2006,-0.39,,
01/04/2006,0.1,,
01/05/2006,0.11,,
01/06/2006,0.16,,
01/07/2006,-0.09,,
01/08/2006,0.06,,
01/09/2006,-0.63,,
01/10/2006,-0.5,,
01/11/2006,-0.22,,
01/12/2006,-0.45,,
01/01/2007,-0.86,,
01/02/2007,-0.71,,
01/03/2007,-0.58,,
01/04/2007,-0.81,,
01/05/2007,-0.41,,
01/06/2007,-0.37,,
01/07/2007,-0.42,,
01/08/2007,-0.1,,
01/09/2007,-0.04,,
