"","date","UNRATE","EXPINF1YR","rgdp_growth","rgdp","CA","JP","US","WTISPLC","VIXCLS","inf_1","inf_2","inf_3","inf_4","inf_5","inf_6","inf_7","inf_8","inf_9","inf_10","inf_11","inf_12","inf_13","inf_14","inf_15","inf_16","inf_17","inf_18","inf_19","inf_20","inf_21","inf_22","inf_23","inf_24","inf_25","inf_26","inf_27","inf_28","inf_29","inf_30","inf_31","inf_32","inf_33","inf_34","inf_35","inf_36","inf_37","inf_38","inf_39","inf_40","inf_41","inf_42","inf_44","inf_45","inf_46","inf_47","inf_48","inf_49","inf_50","inf_51","inf_52","inf_53","inf_54","inf_55","inf_56","inf_57","inf_58","inf_59","inf_60","inf_61","inf_62","inf_63","inf_64","inf_65","inf_66","inf_67","inf_68","inf_69","inf_70","inf_71","inf_72","inf_74","inf_75","inf_76","inf_77","inf_78","inf_79","inf_80","inf_81","inf_82","inf_83","inf_84","inf_85","inf_86","inf_87","inf_88","inf_89","inf_90","inf_91","inf_92","inf_93","inf_94","lag_rgdp_growth","lag_rgdp","lag_GB","lag_inf_1","lag_inf_2","lag_inf_3","lag_inf_4","lag_inf_5","lag_inf_6","lag_inf_7","lag_inf_8","lag_inf_9","lag_inf_10","lag_inf_11","lag_inf_12","lag_inf_13","lag_inf_14","lag_inf_15","lag_inf_16","lag_inf_17","lag_inf_18","lag_inf_19","lag_inf_20","lag_inf_21","lag_inf_22","lag_inf_23","lag_inf_24","lag_inf_25","lag_inf_26","lag_inf_27","lag_inf_28","lag_inf_29","lag_inf_30","lag_inf_31","lag_inf_32","lag_inf_33","lag_inf_34","lag_inf_35","lag_inf_36","lag_inf_37","lag_inf_38","lag_inf_39","lag_inf_40","lag_inf_41","lag_inf_42","lag_inf_44","lag_inf_45","lag_inf_46","lag_inf_47","lag_inf_48","lag_inf_49","lag_inf_50","lag_inf_51","lag_inf_52","lag_inf_53","lag_inf_54","lag_inf_55","lag_inf_56","lag_inf_57","lag_inf_58","lag_inf_59","lag_inf_60","lag_inf_61","lag_inf_62","lag_inf_63","lag_inf_64","lag_inf_65","lag_inf_66","lag_inf_67","lag_inf_68","lag_inf_69","lag_inf_70","lag_inf_71","lag_inf_72","lag_inf_74","lag_inf_75","lag_inf_76","lag_inf_77","lag_inf_78","lag_inf_79","lag_inf_80","lag_inf_81","lag_inf_82","lag_inf_83","lag_inf_84","lag_inf_85","lag_inf_86","lag_inf_87","lag_inf_88","lag_inf_89","lag_inf_90","lag_inf_91","lag_inf_92","lag_inf_93","lag_inf_94","GSCPI","EU","beta_CA","beta_GB","beta_EU","beta_JP","crisis"
"138","Jun 2009",9.5,1.2745119,0.198863140333333,9.69936282915685,0.25,0.1,0.125,69.68,29.14,-1.01862469,-3.540208521,-1.786755202,-0.981859288,0.756062295,-6.796994574,4.868312431,0.960469197,0.470311104,1.770373122,0.410194883,3.913861219,-5.513022523,-9.702078815,1.505498955,1.893757021,-0.701688185,1.478135471,-0.121601902,1.079270996,0.796452825,7.615536497,0.560876237,-12.74819252,-4.388507763,1.575980803,1.303792648,3.418654341,-14.63471771,1.604981121,1.605022973,1.60741716,-34.53363407,-33.62745295,-44.25097356,4.930733297,3.386865126,0.718388453,2.471125186,2.05758824,26.50928189,5.22943785,0.263167296,0.436514106,0.883232993,2.038845632,-5.11927887,2.703077991,2.394309758,2.971800175,0.333482312,5.3129683,-9.024178157,1.103379839,1.243098719,2.505907225,-1.25005636,3.814082378,2.278853525,3.729933309,-5.39983321,-8.511368285,-14.44617529,2.67309432,1.912792377,1.568870844,5.502645503,2.292399156,2.993467696,1.139868903,0.546454622,-3.551737958,1.072196946,1.799305531,0.487642181,0.53348654,0.191459941,-1.047611038,-0.704933322,1.657451589,0.610354484,0.377308612,2.841322154,2.831006831,0.671013342,5.609499132,0.936539332,-1.047598453,-0.70506142,1.657912016,0.610449458,1.258179398,-0.0726505353333334,9.69819423864114,0.5,-0.889212828,-3.663446055,-1.789950945,-1.82874447,0.228479343,-8.759819324,5.386094456,1.169561703,0.765866112,3.301189611,-0.321626767,2.400424124,-5.011986259,-9.501066775,3.637039352,1.279477102,0.946544838,0.881015636,0.247678576,1.985938802,1.046708051,6.768711172,0.186866693,-12.54343311,-4.537023375,2.145657571,2.015551117,3.051638076,-13.92565299,1.039328789,0.875022005,1.683819734,-38.84245364,-38.53875854,-42.57993987,5.042925864,3.428638756,0.897272162,2.332768604,2.518736698,27.38036594,4.833315352,0.48642899,0.660224476,1.352722354,2.270722023,-3.479556218,2.640757349,2.38660558,2.864461761,1.559846095,6.463697518,-7.694506374,0.600718018,0.115896342,1.811764706,-1.037620875,3.866116414,2.767362749,4.2062364,-4.82396848,-8.576838036,-14.43238124,2.439871925,2.163653862,2.067698494,5.648043108,2.084000051,3.115242087,1.185961692,0.646251978,-3.298277602,1.093063523,1.774337112,0.92011807,0.796067872,0.130246877,-1.102817241,-0.591701598,1.436252114,0.949739452,0.127234099,2.774945375,2.755338766,-0.166956132,5.73415168,0.905074627,-1.102803963,-0.59059424,1.436651012,0.951088588,1.17754405,-0.49,1,0.0953072391,0.0065656566,-0.0089015152,-0.0234217172,0
"139","Jul 2009",9.5,1.5522347,0.470376816,9.70053141967256,0.25,0.1,0.125,64.09,26.16,-1.466009197,-4.538381743,-2.315643685,-0.898668161,0.372472313,-5.487560193,3.826971896,0.073931687,-0.483717017,0.890801879,0.065991543,2.399613061,-6.358950851,-10.64476713,0.212617494,0.621408313,1.172629574,0.399311241,-0.726014628,0.575809081,0.522125455,8.330765913,-0.195425467,-14.91036586,-5.602643738,0,-0.469005796,3.167243944,-17.22711326,0.889247334,0.740487583,1.471727343,-37.1180718,-36.35511966,-45.3012719,5.169883993,3.53259449,0.939726744,2.27751964,2.096499451,27.83641161,4.966836158,0.099728122,0.253949329,0.259302631,1.83370951,-7.783723974,2.544132918,2.226511798,2.821368948,1.088488376,5.247850278,-6.807090814,0.860475792,1.206225231,2.627265955,-1.978735311,3.33588236,1.639767751,3.237325039,-6.780287712,-7.779984114,-13.42102008,2.795930492,1.788449358,1.224727672,5.56172744,2.426127925,2.446873908,1.179923263,-0.086929599,-3.276630741,1.041678886,1.680505668,0.222650691,0.103845795,0.407430589,-0.330751467,-0.308287493,2.105701943,0.3658028,0.765588193,2.688724276,2.621665166,0.603493557,5.614677337,0.976787903,-0.330751467,-0.30834341,2.105023754,0.367051196,1.194209743,0.198863140333333,9.69936282915685,0.5,-1.01862469,-3.540208521,-1.786755202,-0.981859288,0.756062295,-6.796994574,4.868312431,0.960469197,0.470311104,1.770373122,0.410194883,3.913861219,-5.513022523,-9.702078815,1.505498955,1.893757021,-0.701688185,1.478135471,-0.121601902,1.079270996,0.796452825,7.615536497,0.560876237,-12.74819252,-4.388507763,1.575980803,1.303792648,3.418654341,-14.63471771,1.604981121,1.605022973,1.60741716,-34.53363407,-33.62745295,-44.25097356,4.930733297,3.386865126,0.718388453,2.471125186,2.05758824,26.50928189,5.22943785,0.263167296,0.436514106,0.883232993,2.038845632,-5.11927887,2.703077991,2.394309758,2.971800175,0.333482312,5.3129683,-9.024178157,1.103379839,1.243098719,2.505907225,-1.25005636,3.814082378,2.278853525,3.729933309,-5.39983321,-8.511368285,-14.44617529,2.67309432,1.912792377,1.568870844,5.502645503,2.292399156,2.993467696,1.139868903,0.546454622,-3.551737958,1.072196946,1.799305531,0.487642181,0.53348654,0.191459941,-1.047611038,-0.704933322,1.657451589,0.610354484,0.377308612,2.841322154,2.831006831,0.671013342,5.609499132,0.936539332,-1.047598453,-0.70506142,1.657912016,0.610449458,1.258179398,-0.73,1,0.0932659933,0.0064393939,-0.010479798,-0.022790404,0
"140","Aug 2009",9.6,2.0245319,0.780441887333333,9.70411513146565,0.25,0.1,0.125,71.06,25.34,-1.100119771,-3.694269974,-2.498434247,-0.228236414,0.702913655,-3.342826557,2.948876486,-1.409801398,-1.966117563,-0.784172267,-0.573432848,-0.360470384,-6.413480572,-11.07923953,1.078582435,1.039541021,1.407520049,1.039406896,-1.112784921,-0.643079405,1.148453242,6.640272174,-0.134439309,-15.13254759,-4.269155811,-0.515882598,-1.079963488,3.291811092,-18.37468615,0.55450942,0.011274304,2.691474981,-30.42677723,-29.75769898,-37.6214607,5.029447081,3.888069539,-0.480067469,2.48083754,1.721502695,27.83540447,3.70924249,0.209907143,0.401305135,0.206485803,1.711035877,-7.516712691,2.7680505,2.172877262,3.278590979,1.953916418,5.06823949,-4.070911921,0.838090326,1.216768447,2.098057354,-1.4997478,2.969014646,1.566755822,2.927391757,-5.658630308,-7.160789002,-12.56825313,2.948816268,1.757832696,1.34085009,5.8572488,2.224407187,2.198449426,1.017213459,-0.079443186,-3.991075587,1.108208474,1.705134025,0.041270678,0.132991134,0.476549967,0.084156868,-0.108618255,2.196457408,0.396381383,1.119052776,3.045832178,3.066570479,0.506315028,5.8956372,0.863010446,0.084156868,-0.108637922,2.195805255,0.39644273,1.201238086,0.470376816,9.70053141967256,0.5,-1.466009197,-4.538381743,-2.315643685,-0.898668161,0.372472313,-5.487560193,3.826971896,0.073931687,-0.483717017,0.890801879,0.065991543,2.399613061,-6.358950851,-10.64476713,0.212617494,0.621408313,1.172629574,0.399311241,-0.726014628,0.575809081,0.522125455,8.330765913,-0.195425467,-14.91036586,-5.602643738,0,-0.469005796,3.167243944,-17.22711326,0.889247334,0.740487583,1.471727343,-37.1180718,-36.35511966,-45.3012719,5.169883993,3.53259449,0.939726744,2.27751964,2.096499451,27.83641161,4.966836158,0.099728122,0.253949329,0.259302631,1.83370951,-7.783723974,2.544132918,2.226511798,2.821368948,1.088488376,5.247850278,-6.807090814,0.860475792,1.206225231,2.627265955,-1.978735311,3.33588236,1.639767751,3.237325039,-6.780287712,-7.779984114,-13.42102008,2.795930492,1.788449358,1.224727672,5.56172744,2.426127925,2.446873908,1.179923263,-0.086929599,-3.276630741,1.041678886,1.680505668,0.222650691,0.103845795,0.407430589,-0.330751467,-0.308287493,2.105701943,0.3658028,0.765588193,2.688724276,2.621665166,0.603493557,5.614677337,0.976787903,-0.330751467,-0.30834341,2.105023754,0.367051196,1.194209743,-1.11,1,0.0937710438,0.0066919192,-0.0087121212,-0.0234217172,0
"141","Sep 2009",9.8,2.3608109,1.09050695866667,9.70769884325873,0.25,0.1,0.125,69.46,24.93,-1.022748679,-3.593241238,-1.967307725,1.294874861,2.356079377,-0.933818063,2.321948842,-1.515225773,-2.085897467,-1.488291686,0.368350903,-1.008268191,-6.851378463,-11.86707338,1.6260762,1.025449899,1.127446559,1.259366207,0.194715634,0.69397134,2.552702831,6.737913333,0.384449964,-12.47809405,-4.351826295,-1.427730029,-2.00513577,2.455599953,-17.5855419,1.012173152,0.51089499,2.9889989,-29.75469595,-29.36645963,-33.9372663,5.156884207,4.320706314,-1.281019018,1.767641694,1.554810068,29.03463144,3.723679263,0.270241439,0.454734837,0.247356157,1.369213947,-5.585656157,2.702484951,2.076859276,3.243468428,1.148709823,4.670963635,-5.621596234,0.71869184,1.178132213,1.58045977,-1.387660018,2.868327844,1.404628305,2.604263092,-4.995189131,-6.445411583,-11.57803742,3.116427353,1.97928865,1.477895819,5.4954228,1.988665243,2.705847076,1.052215285,-0.261287996,-3.750848791,1.158861019,1.698829154,0.175502994,0.202958055,0.598046617,0.202864105,-0.01085305,1.976448683,0.670012756,1.459352631,3.036912954,3.065786672,0.924439092,5.574179793,0.938515935,0.204064484,-0.010855013,1.975737441,0.66891626,1.501124922,0.780441887333333,9.70411513146565,0.5,-1.100119771,-3.694269974,-2.498434247,-0.228236414,0.702913655,-3.342826557,2.948876486,-1.409801398,-1.966117563,-0.784172267,-0.573432848,-0.360470384,-6.413480572,-11.07923953,1.078582435,1.039541021,1.407520049,1.039406896,-1.112784921,-0.643079405,1.148453242,6.640272174,-0.134439309,-15.13254759,-4.269155811,-0.515882598,-1.079963488,3.291811092,-18.37468615,0.55450942,0.011274304,2.691474981,-30.42677723,-29.75769898,-37.6214607,5.029447081,3.888069539,-0.480067469,2.48083754,1.721502695,27.83540447,3.70924249,0.209907143,0.401305135,0.206485803,1.711035877,-7.516712691,2.7680505,2.172877262,3.278590979,1.953916418,5.06823949,-4.070911921,0.838090326,1.216768447,2.098057354,-1.4997478,2.969014646,1.566755822,2.927391757,-5.658630308,-7.160789002,-12.56825313,2.948816268,1.757832696,1.34085009,5.8572488,2.224407187,2.198449426,1.017213459,-0.079443186,-3.991075587,1.108208474,1.705134025,0.041270678,0.132991134,0.476549967,0.084156868,-0.108618255,2.196457408,0.396381383,1.119052776,3.045832178,3.066570479,0.506315028,5.8956372,0.863010446,0.084156868,-0.108637922,2.195805255,0.39644273,1.201238086,-0.48,1,0.0938131313,0.0065656566,-0.0086489899,-0.0236742424,0
"142","Oct 2009",10,1.6283633,1.40057203,9.71128255505181,0.25,0.1,0.125,75.82,24.25,0.013385238,-1.801343175,-1.54945251,3.253871966,3.846455678,3.079001929,1.887561707,-2.012951485,-2.400257919,-2.584844549,-0.182265414,-1.397051645,-7.144999813,-11.76473438,0.19334536,0.70732093,0.039364091,1.372829332,0.425646552,0.993350773,2.291939454,6.631898265,-1.278980275,-8.54759581,-1.914947051,-1.733501325,-2.325505474,2.222460466,-10.62782761,1.473536172,1.058118808,3.099863742,-18.65906244,-18.14632268,-24.72138171,5.08812278,4.420650493,-1.708727232,0.822927706,1.29234227,29.0154292,3.763817804,0.907201805,1.088083519,0.260338918,1.154611168,-4.417345655,3.021851903,2.273857271,3.657539603,1.04283054,3.923338109,-4.575244358,0.79635016,0.494334083,1.740874251,-0.225952957,2.464662454,1.485643251,2.374193548,-3.319212327,-2.300230569,-5.596384585,3.653435661,2.223673357,1.40379427,5.585113753,3.092534735,2.613933809,1.233709401,-0.279591039,-3.099619672,1.672193773,2.147324854,0.100791442,0.424663128,1.045423905,1.974002711,1.638067421,1.766926251,1.669547266,1.86165732,3.448565699,3.543585275,0.051196439,5.598994694,1.046921552,1.974002711,1.638366502,1.767413856,1.668587343,2.474809536,1.09050695866667,9.70769884325873,0.5,-1.022748679,-3.593241238,-1.967307725,1.294874861,2.356079377,-0.933818063,2.321948842,-1.515225773,-2.085897467,-1.488291686,0.368350903,-1.008268191,-6.851378463,-11.86707338,1.6260762,1.025449899,1.127446559,1.259366207,0.194715634,0.69397134,2.552702831,6.737913333,0.384449964,-12.47809405,-4.351826295,-1.427730029,-2.00513577,2.455599953,-17.5855419,1.012173152,0.51089499,2.9889989,-29.75469595,-29.36645963,-33.9372663,5.156884207,4.320706314,-1.281019018,1.767641694,1.554810068,29.03463144,3.723679263,0.270241439,0.454734837,0.247356157,1.369213947,-5.585656157,2.702484951,2.076859276,3.243468428,1.148709823,4.670963635,-5.621596234,0.71869184,1.178132213,1.58045977,-1.387660018,2.868327844,1.404628305,2.604263092,-4.995189131,-6.445411583,-11.57803742,3.116427353,1.97928865,1.477895819,5.4954228,1.988665243,2.705847076,1.052215285,-0.261287996,-3.750848791,1.158861019,1.698829154,0.175502994,0.202958055,0.598046617,0.202864105,-0.01085305,1.976448683,0.670012756,1.459352631,3.036912954,3.065786672,0.924439092,5.574179793,0.938515935,0.204064484,-0.010855013,1.975737441,0.66891626,1.501124922,-0.45,1,0.0941077441,0.0065656566,-0.0111742424,-0.0245580808,0
"143","Nov 2009",9.9,1.8070337,1.191624439,9.7128936584587,0.25,0.1,0.125,78.08,23.79,1.460612012,2.132578869,-1.130531162,4.512291311,5.113732192,5.419149534,1.347073336,-2.213302752,-2.813042951,-2.813734947,0.225477301,-1.187961207,-7.090433821,-10.9991871,-2.065086898,0.105089484,0.320443967,1.293008526,0.822028933,2.294306549,1.733006417,7.084935754,-1.082630016,-8.163471027,3.684679433,-1.893418015,-2.541516873,2.382630612,1.784642711,0.825103269,0.253836032,3.063100527,19.12882258,21.77679092,-6.528429838,4.884897402,3.982529591,-2.125612458,1.013772882,0.126555789,30.29507526,3.391786955,1.149015554,1.359538234,0.237453166,0.783886772,-2.640052933,3.053557521,2.241915217,3.7448842,1.900947079,3.542421311,-1.400413162,1.415449835,0.522672046,1.869904724,1.919648505,2.161255304,1.25706644,2.160070533,-3.621605839,-0.344784613,-2.453905961,3.404982662,2.065540078,0.563084232,5.330519812,3.309066004,2.302678529,1.225325795,0.082115485,-3.469900124,1.597556266,1.917925764,0.456348751,0.571855379,0.993119103,2.276146566,1.964636542,1.472555221,1.832602295,1.835380658,3.487953973,3.630933484,0.134827955,5.325830207,0.946002015,2.274905667,1.964996216,1.471709909,1.832888632,2.634937778,1.40057203,9.71128255505181,0.5,0.013385238,-1.801343175,-1.54945251,3.253871966,3.846455678,3.079001929,1.887561707,-2.012951485,-2.400257919,-2.584844549,-0.182265414,-1.397051645,-7.144999813,-11.76473438,0.19334536,0.70732093,0.039364091,1.372829332,0.425646552,0.993350773,2.291939454,6.631898265,-1.278980275,-8.54759581,-1.914947051,-1.733501325,-2.325505474,2.222460466,-10.62782761,1.473536172,1.058118808,3.099863742,-18.65906244,-18.14632268,-24.72138171,5.08812278,4.420650493,-1.708727232,0.822927706,1.29234227,29.0154292,3.763817804,0.907201805,1.088083519,0.260338918,1.154611168,-4.417345655,3.021851903,2.273857271,3.657539603,1.04283054,3.923338109,-4.575244358,0.79635016,0.494334083,1.740874251,-0.225952957,2.464662454,1.485643251,2.374193548,-3.319212327,-2.300230569,-5.596384585,3.653435661,2.223673357,1.40379427,5.585113753,3.092534735,2.613933809,1.233709401,-0.279591039,-3.099619672,1.672193773,2.147324854,0.100791442,0.424663128,1.045423905,1.974002711,1.638067421,1.766926251,1.669547266,1.86165732,3.448565699,3.543585275,0.051196439,5.598994694,1.046921552,1.974002711,1.638366502,1.767413856,1.668587343,2.474809536,-0.79,1,0.0949915825,0.00625,-0.0128787879,-0.0282828283,0
"144","Dec 2009",9.9,1.7866037,0.982676848,9.7145047618656,0.25,0.1,0.125,74.3,21.24,2.089718268,3.901291142,-0.983295108,5.325190303,5.512824857,7.320352728,1.651360136,-2.025932595,-2.038492199,-2.797836049,-0.986391228,-2.248233043,-7.212913513,-11.22848084,-2.175175886,0.653158168,0.182082045,1.025495393,0.094580961,1.559643642,0.637981733,6.891643438,0.520462438,-10.94059314,6.271199811,-1.689291755,-2.161903519,1.391899358,6.951546443,2.029153903,1.617943706,3.630399245,44.58679153,49.02565768,5.784409974,4.678336037,3.63722917,-2.114808531,0.173917845,0.378949881,30.05989243,3.551028513,1.258332442,1.487285912,0.110887217,0.67926079,-2.887668695,3.040834057,2.339902835,3.632869153,2.064220183,2.694959262,0.700400721,1.402564284,-0.047120479,1.716370403,2.822814464,1.980979635,1.197786461,1.951666056,-2.892333729,1.023375461,-0.371680084,3.49515517,2.110829971,0.58813487,5.30342573,2.870710668,2.388063253,1.296821352,0.102322482,-3.724131893,1.448784702,1.463679283,0.6173193,0.795161309,1.140230646,2.651064553,2.184673152,1.737261127,1.597470871,2.424037975,3.383975424,3.507455688,-0.730016907,5.278377331,1.017350625,2.651064553,2.185072734,1.736488767,1.596502785,2.776245633,1.191624439,9.7128936584587,0.5,1.460612012,2.132578869,-1.130531162,4.512291311,5.113732192,5.419149534,1.347073336,-2.213302752,-2.813042951,-2.813734947,0.225477301,-1.187961207,-7.090433821,-10.9991871,-2.065086898,0.105089484,0.320443967,1.293008526,0.822028933,2.294306549,1.733006417,7.084935754,-1.082630016,-8.163471027,3.684679433,-1.893418015,-2.541516873,2.382630612,1.784642711,0.825103269,0.253836032,3.063100527,19.12882258,21.77679092,-6.528429838,4.884897402,3.982529591,-2.125612458,1.013772882,0.126555789,30.29507526,3.391786955,1.149015554,1.359538234,0.237453166,0.783886772,-2.640052933,3.053557521,2.241915217,3.7448842,1.900947079,3.542421311,-1.400413162,1.415449835,0.522672046,1.869904724,1.919648505,2.161255304,1.25706644,2.160070533,-3.621605839,-0.344784613,-2.453905961,3.404982662,2.065540078,0.563084232,5.330519812,3.309066004,2.302678529,1.225325795,0.082115485,-3.469900124,1.597556266,1.917925764,0.456348751,0.571855379,0.993119103,2.276146566,1.964636542,1.472555221,1.832602295,1.835380658,3.487953973,3.630933484,0.134827955,5.325830207,0.946002015,2.274905667,1.964996216,1.471709909,1.832888632,2.634937778,-0.61,1,0.0936026936,0.0064393939,-0.0127104377,-0.0294191919,0
"145","Jan 2010",9.8,1.6957593,0.773729257,9.71611586527249,0.25,0.1,0.125,78.22,20.64,2.301720616,3.926173114,-1.037964493,5.547145803,4.607466343,9.405209523,1.959204121,-2.467597413,-2.371104701,-3.569901501,-1.866726823,-1.852760495,-7.149444441,-10.91436605,-3.426141378,1.803909004,-0.676735535,2.071211007,-0.141696751,1.053218296,0.298785216,6.770871807,0.846799802,-10.619084,6.330649237,-1.496213354,-1.842013586,0.761424011,5.813550511,1.820297213,1.27506459,3.947817471,44.28047592,47.10277683,17.86753027,4.478590731,3.841160061,-2.712740191,0.434702861,-0.554282101,29.18827015,3.920949172,1.550645706,1.717762138,-0.017861396,0.411254628,-2.31809686,2.794345292,2.050096424,3.426556992,1.572836506,1.545769618,1.544164495,1.255935059,-0.402559868,1.975230076,2.631700715,1.673090614,1.025262368,1.691079858,-2.606280961,4.235535717,4.641988399,3.60662536,2.214526565,0.404682388,5.099502488,2.844269929,2.892817996,1.468355036,-0.283461566,-2.151169886,1.808806679,1.772233847,1.354539491,1.210916954,1.462918505,3.32617764,2.815247832,2.14731211,1.08922088,2.630091518,3.251945328,3.329009944,-0.930190957,5.138127634,1.198299646,3.327397361,2.815764366,2.146652497,1.089389466,2.940026872,0.982676848,9.7145047618656,0.5,2.089718268,3.901291142,-0.983295108,5.325190303,5.512824857,7.320352728,1.651360136,-2.025932595,-2.038492199,-2.797836049,-0.986391228,-2.248233043,-7.212913513,-11.22848084,-2.175175886,0.653158168,0.182082045,1.025495393,0.094580961,1.559643642,0.637981733,6.891643438,0.520462438,-10.94059314,6.271199811,-1.689291755,-2.161903519,1.391899358,6.951546443,2.029153903,1.617943706,3.630399245,44.58679153,49.02565768,5.784409974,4.678336037,3.63722917,-2.114808531,0.173917845,0.378949881,30.05989243,3.551028513,1.258332442,1.487285912,0.110887217,0.67926079,-2.887668695,3.040834057,2.339902835,3.632869153,2.064220183,2.694959262,0.700400721,1.402564284,-0.047120479,1.716370403,2.822814464,1.980979635,1.197786461,1.951666056,-2.892333729,1.023375461,-0.371680084,3.49515517,2.110829971,0.58813487,5.30342573,2.870710668,2.388063253,1.296821352,0.102322482,-3.724131893,1.448784702,1.463679283,0.6173193,0.795161309,1.140230646,2.651064553,2.184673152,1.737261127,1.597470871,2.424037975,3.383975424,3.507455688,-0.730016907,5.278377331,1.017350625,2.651064553,2.185072734,1.736488767,1.596502785,2.776245633,-0.32,1,0.0930976431,0.0066919192,-0.0134680135,-0.0307449495,0
"146","Feb 2010",9.8,1.7316171,1.00253063366667,9.71932564854669,0.25,0.1,0.125,76.42,22.54,2.116330184,2.973437564,-1.392457096,5.763846956,3.869173906,11.466457,1.639148641,-3.564870357,-3.457949229,-4.409097574,-3.633594603,-2.290360137,-7.248459303,-10.70455724,-4.382485952,1.820704376,-1.497179939,1.738234861,-0.913254335,-0.149227833,-0.093718782,7.027861501,0.339718043,-11.80670247,5.074019286,-1.093794214,-1.373155198,0.693921292,12.22791887,0.386638119,-0.252369814,2.899150963,32.43223699,33.84108787,17.95815494,4.297209575,3.852999552,-2.883457887,0.07315891,-0.03364671,28.38488547,2.73070223,1.717861477,1.895146373,-0.060716454,0.261357614,-1.791217472,2.806307944,2.151208618,3.361344538,2.106749506,0.726870073,4.906830068,0.749771197,-0.720441384,1.18830764,2.164567029,1.166636158,0.921514089,1.435888722,-1.895554924,5.934876219,7.355272335,3.620311739,2.313211845,0.186478202,5.066633996,3.026949534,2.410768336,1.654216219,0.311824231,-2.159215799,1.800056033,1.707519543,0.799304754,1.416622799,1.558192639,3.381866556,2.917573949,2.361958588,0.74612702,2.795445528,3.247741322,3.321364452,-1.512364829,5.109248769,1.356983849,3.381825283,2.916885882,2.36263805,0.745046862,3.128776689,0.773729257,9.71611586527249,0.5,2.301720616,3.926173114,-1.037964493,5.547145803,4.607466343,9.405209523,1.959204121,-2.467597413,-2.371104701,-3.569901501,-1.866726823,-1.852760495,-7.149444441,-10.91436605,-3.426141378,1.803909004,-0.676735535,2.071211007,-0.141696751,1.053218296,0.298785216,6.770871807,0.846799802,-10.619084,6.330649237,-1.496213354,-1.842013586,0.761424011,5.813550511,1.820297213,1.27506459,3.947817471,44.28047592,47.10277683,17.86753027,4.478590731,3.841160061,-2.712740191,0.434702861,-0.554282101,29.18827015,3.920949172,1.550645706,1.717762138,-0.017861396,0.411254628,-2.31809686,2.794345292,2.050096424,3.426556992,1.572836506,1.545769618,1.544164495,1.255935059,-0.402559868,1.975230076,2.631700715,1.673090614,1.025262368,1.691079858,-2.606280961,4.235535717,4.641988399,3.60662536,2.214526565,0.404682388,5.099502488,2.844269929,2.892817996,1.468355036,-0.283461566,-2.151169886,1.808806679,1.772233847,1.354539491,1.210916954,1.462918505,3.32617764,2.815247832,2.14731211,1.08922088,2.630091518,3.251945328,3.329009944,-0.930190957,5.138127634,1.198299646,3.327397361,2.815764366,2.146652497,1.089389466,2.940026872,-0.16,1,0.0963804714,0.0069023569,-0.0140361953,-0.0317550505,0
"147","Mar 2010",9.9,1.9701388,1.23133201033333,9.72253543182089,0.25,0.1,0.125,81.24,17.77,2.372716034,3.089994158,-1.247079841,5.956945179,3.263333333,13.44112257,1.058909971,-4.136955337,-4.446862532,-4.587326264,-3.386761132,-2.235035426,-6.674957472,-10.08478335,-2.914284336,1.122152154,-1.120102899,1.04696632,-0.594166367,1.073040435,0.125352229,6.398900874,-0.377497307,-12.3025994,5.179535712,-0.552226915,-0.715796858,0.477769421,15.32933974,-0.077661458,-0.577697798,1.889779146,37.25413507,38.47135383,24.8882961,3.119333415,4.061166611,-2.982549858,0.053989751,-0.087855246,16.25109164,2.390029832,2.039577082,2.199245427,0.019044445,0.008413462,0.095517424,2.832617052,2.200144272,3.367987744,2.626658659,0.664499108,6.67749285,0.538283825,-1.281992844,1.083799155,2.304035812,0.956798013,1.01573175,1.310112468,-0.600561161,7.892709166,10.63699502,3.458496823,2.619694919,0.065480088,5.175545615,3.275495973,2.179842947,1.613404032,0.065336184,-1.490396468,1.975721179,2.031693964,0.761493761,1.351540944,1.503554825,3.600224785,3.093970003,2.237650467,0.737438646,2.492290339,3.23093346,3.321973178,-2.416861515,5.235909625,1.275618876,3.601446443,3.09453833,2.237016312,0.737552322,3.009067421,1.00253063366667,9.71932564854669,0.5,2.116330184,2.973437564,-1.392457096,5.763846956,3.869173906,11.466457,1.639148641,-3.564870357,-3.457949229,-4.409097574,-3.633594603,-2.290360137,-7.248459303,-10.70455724,-4.382485952,1.820704376,-1.497179939,1.738234861,-0.913254335,-0.149227833,-0.093718782,7.027861501,0.339718043,-11.80670247,5.074019286,-1.093794214,-1.373155198,0.693921292,12.22791887,0.386638119,-0.252369814,2.899150963,32.43223699,33.84108787,17.95815494,4.297209575,3.852999552,-2.883457887,0.07315891,-0.03364671,28.38488547,2.73070223,1.717861477,1.895146373,-0.060716454,0.261357614,-1.791217472,2.806307944,2.151208618,3.361344538,2.106749506,0.726870073,4.906830068,0.749771197,-0.720441384,1.18830764,2.164567029,1.166636158,0.921514089,1.435888722,-1.895554924,5.934876219,7.355272335,3.620311739,2.313211845,0.186478202,5.066633996,3.026949534,2.410768336,1.654216219,0.311824231,-2.159215799,1.800056033,1.707519543,0.799304754,1.416622799,1.558192639,3.381866556,2.917573949,2.361958588,0.74612702,2.795445528,3.247741322,3.321364452,-1.512364829,5.109248769,1.356983849,3.381825283,2.916885882,2.36263805,0.745046862,3.128776689,0.35,1,0.0946127946,0.0068181818,-0.0144149832,-0.0316919192,0
